SLC,252,220
PVU,253,229
OGD,253,200
SGU,223,270
JFK,735,195
ATL,615,355
BOS,768,160
DEN,350,240
HOU,455,442
IAH,455,435
LAX,155,328
ELK,215,205
MSP,495,165
SEA,140,75
PHX,225,365
SFO,110,245
MCO,680,450
IAD,690,245
DFW,440,390
RDU,675,306
LAS,190,280
CNY,275,255
ORD,550,205
SYR,700,150
CDC,230,260
SNA,162,336
LGU,755,195
BUR,150,320
